paper_id,primary_category,year,total_token_count,matched_token_count,coverage,mean_happiness
2604.22411,cs.AI,2026,136,105,0.7720588235294118,5.458285714285715
2604.22407,cs.LG,2026,200,143,0.715,5.217272727272729
2604.22367,cs.CL,2026,196,143,0.7295918367346939,5.648251748251751
2604.22363,cs.RO,2026,157,103,0.6560509554140127,5.44077669902913
2604.22333,cs.CV,2026,242,159,0.6570247933884298,5.349748427672959
2604.22328,cs.LG,2026,252,206,0.8174603174603174,5.647378640776705
2604.22306,cs.LO,2026,119,94,0.7899159663865546,5.568936170212767
2604.22294,cs.CL,2026,203,140,0.6896551724137931,5.377928571428573
2604.22292,cs.CL,2026,153,110,0.7189542483660131,5.40336363636364
2604.22273,cs.AI,2026,206,140,0.6796116504854369,5.19314285714286
2604.22269,cs.IT,2026,208,141,0.6778846153846154,5.273333333333339
2604.2226,cs.CV,2026,241,167,0.6929460580912863,5.531017964071856
2604.22258,cs.LG,2026,126,91,0.7222222222222222,5.356813186813189
2604.22256,cs.SC,2026,142,106,0.7464788732394366,5.691981132075473
2604.22239,cs.CL,2026,194,136,0.7010309278350515,5.445661764705884
2604.22237,cs.CL,2026,144,117,0.8125,5.5558119658119685
2604.22235,cs.RO,2026,176,134,0.7613636363636364,5.393731343283584
2604.22229,cs.LG,2026,238,186,0.7815126050420168,5.430268817204304
2604.22227,cs.CY,2026,240,163,0.6791666666666667,5.531963190184056
2604.22215,cs.CL,2026,221,165,0.746606334841629,5.334060606060607
2604.22209,eess.AS,2026,190,124,0.6526315789473685,5.595806451612904
2604.22207,cs.SE,2026,238,187,0.7857142857142857,5.524064171123002
2604.22199,cs.RO,2026,248,195,0.7862903225806451,5.483179487179492
2604.2219,cs.CV,2026,186,117,0.6290322580645161,5.432136752136753
2604.2218,cs.IR,2026,258,171,0.6627906976744186,5.476023391812867
2604.22169,cs.LG,2026,222,145,0.6531531531531531,5.4233103448275894
2604.22167,cs.LG,2026,229,169,0.7379912663755459,5.4522485207100635
2604.2216,cs.CV,2026,239,171,0.7154811715481172,5.5433918128655
2604.22157,cs.CR,2026,192,145,0.7552083333333334,5.458137931034486
2604.22154,cs.LG,2026,212,153,0.7216981132075472,5.307516339869286
2604.22153,cs.CL,2026,226,185,0.8185840707964602,5.508594594594599
2604.22119,cs.AI,2026,165,124,0.7515151515151515,5.458064516129036
2604.22117,cs.LG,2026,266,183,0.6879699248120301,5.2850819672131175
2604.22109,cs.HC,2026,244,199,0.8155737704918032,5.516180904522619
2604.22102,cs.RO,2026,230,178,0.7739130434782608,5.487528089887641
2604.22089,cs.SE,2026,198,168,0.8484848484848485,5.426666666666669
2604.22085,cs.AI,2026,236,157,0.6652542372881356,5.418662420382168
2604.22082,cs.LG,2026,195,144,0.7384615384615385,5.4515277777777795
2604.2208,cs.AI,2026,168,139,0.8273809523809523,5.286258992805761
2604.22072,cs.DC,2026,180,120,0.6666666666666666,5.369583333333335
2604.22067,cs.CL,2026,237,190,0.8016877637130801,5.305631578947371
2604.22063,cs.LG,2026,255,182,0.7137254901960784,5.279230769230774
2604.22061,cs.CL,2026,217,141,0.6497695852534562,5.444751773049648
2604.22046,cs.SE,2026,175,127,0.7257142857142858,5.534251968503942
2604.22045,cs.CV,2026,219,156,0.7123287671232876,5.490000000000004
2604.22036,cs.CV,2026,211,170,0.8056872037914692,5.460411764705881
2604.22031,cs.LG,2026,159,111,0.6981132075471698,5.410000000000003
2604.22027,cs.CL,2026,213,181,0.8497652582159625,5.405248618784536
2604.22026,cs.AI,2026,241,185,0.7676348547717843,5.507027027027032
2604.22018,q-bio.NC,2026,217,148,0.6820276497695853,5.421891891891894
2604.21999,cs.LG,2026,227,162,0.7136563876651982,5.3476543209876555
2604.21991,cs.LG,2026,176,131,0.7443181818181818,5.401221374045805
2604.21989,math.OC,2026,134,107,0.7985074626865671,5.323364485981311
2604.21931,cs.CV,2026,218,180,0.8256880733944955,5.62577777777778
2604.21965,cs.AI,2026,152,123,0.8092105263157895,5.387967479674799
2604.21911,cs.CV,2026,204,144,0.7058823529411765,5.4701388888888935
2604.2191,cs.AI,2026,166,102,0.6144578313253012,5.462352941176471
2604.21903,cs.LG,2026,222,164,0.7387387387387387,5.363109756097564
2604.21901,cs.CL,2026,133,101,0.7593984962406015,5.517425742574258
2604.21896,cs.AI,2026,221,150,0.6787330316742082,5.689000000000002
2604.21891,eess.SY,2026,231,160,0.6926406926406926,5.381625000000005
2604.21889,cs.CL,2026,213,159,0.7464788732394366,5.419559748427676
2604.21885,cs.CL,2026,169,117,0.6923076923076923,5.461367521367521
2604.21879,cs.CV,2026,234,180,0.7692307692307693,5.482611111111117
2604.21863,quant-ph,2026,229,147,0.6419213973799127,5.337755102040817
2604.2186,cs.CR,2026,194,129,0.6649484536082474,5.337829457364344
2604.21854,cs.AI,2026,257,208,0.8093385214007782,5.191490384615387
2604.2184,cs.CR,2026,221,143,0.6470588235294118,5.366293706293711
2604.21836,q-bio.NC,2026,215,156,0.7255813953488373,5.546794871794879
2604.21827,cs.AI,2026,171,143,0.8362573099415205,5.49601398601399
2604.21816,cs.AI,2026,297,207,0.696969696969697,5.352028985507247
2604.21814,cs.CV,2026,234,161,0.688034188034188,5.457515527950314
